100 1500
30 -20 83
46 -80 -40
-72 -19 89
-37 -58 59
-8 -35 -87
4 78 -17
99 -50 -60
22 88 31
-83 21 -54
10 61 -71
-72 -33 -5
-96 -38 12
-4 -78 47
21 -4 47
-31 67 -27
69 27 -86
61 -19 56
-35 -81 -20
-36 -67 -43
-77 -34 -69
-33 57 10
97 56 42
37 70 -95
54 33 -80
11 2 -61
-61 -33 -4
-23 50 66
48 61 -38
-48 44 16
-74 95 94
-93 32 22
6 -53 -49
-50 4 -12
-91 32 15
14 -97 10
-56 -97 -88
-5 -47 28
-69 67 -41
36 -76 -98
-35 57 -94
-5 57 -15
-26 3 -51
78 21 -82
-82 -94 27
-68 -12 52
12 71 -20
-100 40 -89
67 -84 31
-31 -94 56
98 -37 -58
68 50 66
93 81 98
92 -12 -23
-41 -28 -61
85 52 -63
-49 -37 -75
-53 -8 83
46 -88 -61
51 78 99
59 -22 96
-18 45 -28
-13 -94 -9
-68 10 -3
3 -74 -87
-47 73 31
-25 53 -64
50 41 39
80 -31 -30
29 38 49
93 -50 59
55 -44 -91
67 90 -44
14 -5 16
-98 85 -23
58 6 -79
9 21 -31
2 91 38
-26 -73 11
55 -27 -20
10 5 -67
-52 67 82
-49 -36 51
42 4 2
38 13 -72
-69 32 -95
8 -34 -46
-44 5 -94
69 -25 39
-73 74 23
-65 -70 -32
64 -96 75
33 -75 -45
18 -42 75
-84 87 1
-51 67 -25
54 -76 -26
81 -71 -64
18 -93 68
61 -6 23
38 -31 -6
6 -63 93
-40 -43 -46
-19 -15 -41
-46 31 28
-69 -6 -77
96 36 11
-20 -96 -14
74 -33 90
-42 36 78
98 -99 57
68 35 47
-7 44 65
40 -51 3
-24 18 -80
-41 12 -52
-27 -74 32
63 73 72
-58 70 41
-47 14 22
26 -62 -88
64 -76 -82
-4 89 -51
2 -55 -50
74 -65 -83
-50 83 -8
-16 10 -46
69 40 94
-28 21 -64
22 77 33
-44 83 24
-75 34 -54
-80 58 98
22 80 -95
47 45 36
-63 -22 -48
-37 -73 -63
71 74 -23
15 -97 -83
71 92 21
52 5 -97
-12 -29 2
23 -15 -63
37 -91 88
-13 98 42
63 33 -21
-89 87 83
83 -66 -37
47 78 34
39 -38 -89
-16 -21 -59
30 80 -38
-53 -86 59
-56 -81 -25
-14 -93 -7
9 90 -38
-55 -54 77
-39 13 -38
83 9 -88
20 -92 50
-11 -21 -61
96 4 -53
91 -60 -85
-22 5 68
-84 36 90
16 -90 -62
39 -29 -62
-18 65 -84
-10 29 -41
-78 -10 85
-30 -95 -52
-78 1 57
72 -98 -1
13 -57 -25
-42 -84 -12
83 75 47
-52 -2 -58
18 -95 -62
-34 44 88
-63 34 88
-35 58 26
-42 -12 59
4 65 -94
9 -57 100
74 -22 77
51 -21 18
41 55 2
-24 -41 4
-47 16 41
-78 -74 7
-36 -62 14
-31 35 -68
-74 -68 -91
31 -43 -56
-16 36 58
15 1 87
10 -91 -81
-25 -76 91
-52 68 -15
-73 91 -72
-63 -29 30
-72 -4 -42
-25 46 82
66 65 -57
84 45 53
-60 84 59
-64 63 -12
-7 31 -18
58 41 65
-73 39 74
-58 -75 -96
82 -66 70
-17 -76 -94
-49 59 31
34 -56 44
-77 -50 -22
55 -39 -31
22 -39 -62
-5 98 -88
10 -64 31
-88 -99 -35
-26 -86 -80
-65 91 -95
-78 43 27
-18 -50 37
-84 40 51
27 -62 57
37 -55 29
-15 79 57
-68 99 18
-18 62 -100
-9 -56 -47
88 84 -13
2 -72 99
26 60 52
96 -53 -67
-33 -46 -11
-41 -20 37
97 -70 56
85 -11 -25
48 -5 -19
